Un  reino  que  pelea  contra  sí  mismo  no  puede mantenerse.	0
Les aseguro que  hay  alegría  en  la  presencia  de  los  ángeles  de  Dios  por  un  pecador  que  se arrepiente.	0
Él  era  de  quien  hablaba  el  profeta  Isaías  cuando  dijo : “ Se  oye  una  voz  que  clama  en  el  desierto : ‘preparen el  camino  del  Señor . Enderecen la senda para él’”.	1
Después  del exilio a  Babilonia , Joacím fue  el  padre  de Salatiel; y Salatiel el  padre  de  Zorobabel ;	1
Pero  si  alguien  te  dice : “ Esta  comida  fue sacrificada a  ídolos ”, no  la  comas , por  causa  de  quien  te  lo  dijo , y  por razones de  conciencia .	0
Así  es  como  sabemos  qué  es  el  amor : Jesús  entregó  su  vida  por  nosotros , y  nosotros  debemos  entregar  nuestras  vidas  por  nuestros  hermanos  en  la  fe .	0
“ Levántate , ve  a  la  ciudad  y  allí  se  te  dirá  lo  que  debes  hacer ”.	0
“ Así  que invitó a  todos  los  que  estaban  en  deuda  con  su  señor  para  que vinieran a reunirse con  él . Al  primero  le  preguntó : ‘¿ Cuánto  le  debes  a  mi  señor ?’	0
Si  alguien  quiere demandarte en  una  corte  y  toma  tu camisa, dale  tu abrigo también .	0
“ Mis  hermanos  y  hermanas , permítanme decirles claramente  que  nuestro antepasado David  murió  y  fue sepultado, y  su tumba está  aquí  con  nosotros  hasta  el  día  de  hoy .	0
“ El  sábado  fue  hecho  para  beneficio  de ustedes, y  no ustedes para  beneficio  del  sábado ”, les  dijo .	1
Entonces  él  les  preguntó nuevamente: “¿ A  quién  buscan ?” “¿ Eres  tú  Jesús  de  Nazaret ?” le  preguntaron  una  vez  más .	0
Los  que hemos visto  y  oído  eso  mismo  les contamos, para  que  también puedan participar  de  esta  amistad  junto  a  nosotros . Esta  amistad  con  el  Padre  y  su  Hijo  Jesucristo .	0
Y  Jesús  permitió  que  lo hicieran. Entonces  los  espíritus malignos salieron  de  aquél  hombre  y  se  fueron  hacia  el  lugar  donde  estaban  los cerdos. Y  todo  el  rebaño , cerca  de  dos  mil cerdos, salió  corriendo cuesta abajo  por  un precipicio hacia  el  mar  y  se  ahogaron .	1
Después  de  tener  la  confirmación  del  centurión , Pilato  le  dio permiso a  José  de  tomar  el  cuerpo .	0
